part_number,supplier_part_no,name,free_stock,price,supplier_lead_time,calculated_lead_time_value,calculated_on_sale_value,calculated_values_last_sent
1476743,KC-10004,572 REPLACEMENT SPA COVER BROWN 213 BY 213,0,240.00,999,999,No,2020-10-13 00:02:35
1519837,KC-10003,572 REPLACEMENT SPA COVER BROWN 208 BY 208,0,240.00,999,999,No,2020-10-13 00:02:35
1527654,KC-10006,572 REPLACEMENT SPA COVER BROWN 223 BY 223,0,240.00,999,999,No,2020-10-13 00:02:35
1574559,KC-10002,572 REPLACEMENT SPA COVER BROWN 203 BY 203,0,240.00,999,999,No,2020-10-13 00:02:35
1584972,KC-10007,572 REPLACEMENT SPA COVER BROWN 228 BY 228,0,240.00,999,999,No,2020-10-13 00:02:35
1587649,KC-10005,572 REPLACEMENT SPA COVER BROWN 218 BY 218,0,240.00,999,999,No,2020-10-13 00:02:35
3072444,KP-10027,572 SWIFT CURRENT FOAM WALL SPA,0,900,999,999,No,2020-10-13 00:02:35
3073546,KF-10009,572 FRAZER SYNTHETIC GAZEEBO,20,2975,21,21,Yes,2020-10-13 00:02:35
5389984,KL-10002,ONE HOUR SPA SERVICE,98,99.00,21,21,Yes,2020-10-13 00:02:36
5396142,KS-10006,572 ST LAWRENCE 73 JET SWIM SPA 20 FT,2,23000,28,28,Yes,2020-10-13 00:02:36
5417629,KF-10004,572 RATTAN DEEP PLANTER,47,135,21,21,Yes,2020-10-13 00:02:36
5421165,KH-10025,VICTORIA 46 JET 6/7 PERSON SPA,0,4900.00,999,999,No,2020-10-13 00:02:36
5424399,KF-10003,572 RATTAN STORAGE TABLE BAR STOOL,48,135,21,21,Yes,2020-10-13 00:02:36
5424863,KH-10024,NIAGARA 6/7 PERSON 60 JET SPA,0,5100.00,999,999,No,2020-10-13 00:02:36
5429318,KF-10006,572 RATTAN FURNITURE SET FOR ROUND,41,750,21,21,Yes,2020-10-13 00:02:36
5432147,KC-10051,572 HARD TOP COVER FOR SWIFT CURRE,0,210,999,999,No,2020-10-13 00:02:36
5444977,KF-10001,572 RATTAN LOVE SEAT INCLUDING CUS,66,285,21,21,Yes,2020-10-13 00:02:36
5445732,KF-10005,572 RATTAN CURVED STEP,13,135,21,21,Yes,2020-10-13 00:02:36
5447259,KF-10002,572 RATTAN BAR WITH GLASS TOP,28,255,21,21,Yes,2020-10-13 00:02:36
5449532,KH-10032,572 VANCOUVER 5 PERSON TWIN LOUNGE,0,4450.00,999,999,No,2020-10-13 00:02:36
7540549,KH-10031,572 WINNIPEG SPA,0,3325.00,999,999,No,2020-10-13 00:02:36
7540855,KH-10022,572 QUEBEC PLUG N PLAY 25 JET 3/4 PER SPA,0,3400.00,999,999,No,2020-10-13 00:02:36
7540879,KS-10005,572 ST LAWRENCE 60 JET SWIM SPA 16 FT,0,14250.00,999,999,No,2020-10-13 00:02:36
7541500,KH-10021,572 YUKON PLUG N PLAY SPA  2 SEATER HOT TUB,18,2625,28,28,Yes,2020-10-13 00:02:36
8089102,KP-10012,Canadian Spa Muskoka V2 5/6-Person Rigid Foam Spa,0,1100,999,999,No,2020-10-13 00:02:36
8089432,KP-10014,Grand Rapids V2 4-person Inflatable Spa,0,440,999,999,No,2020-10-13 00:02:36
8089449,KH-10037,Calgary Plug & Play 4-Person Hot Tub,10,4600,28,28,Yes,2020-10-13 00:02:36
