Artikel,Vertriebstext,GTIN-Code,Lieferantenartikelnr.,VTL-spez. Status,Bestellmengeneinheit,VPE Lieferant,Planlieferzeit,Produktionszeit,Transferzeit Lieferant,Einkaufsgrundpreis,Bestellwährung,Lieferbar ab,Lieferbar bis,Lieferant,Lieferantenname
4689875,Kelowna Plug&Play Whirlpool,708296542487,KH-10041,A,ST,1,14,14,0,"2,700.00",EUR,,,10565500,Canadian Spa GmbH
5508694,Aussenwhirlpool Niagara für 6 Pers.,758076001833,KH-10024,A,ST,1,15,15,0,"6,300.00",EUR,,,10565500,Canadian Spa GmbH
5520394,Filterset 2 Stk. für Winnipeg/Toronto 2014,5056374200176,KA-10032,A,ST,1,10,10,0,112.50,EUR,,,10565500,Canadian Spa GmbH
6039145,Bar coffee zu runden Außenwhirlpool,700697210811,KF-10002,A,ST,1,10,10,0,183.49,EUR,,,10565500,Canadian Spa GmbH
6039146,Pflanzkorb coffee zu runden Außenwh,700697210835,KF-10004,A,ST,1,10,10,0,99.75,EUR,,,10565500,Canadian Spa GmbH
6039147,Tisch coffee zu runden Außenwhirlpo,700697210842,KF-10003,A,ST,1,10,10,0,99.75,EUR,,,10565500,Canadian Spa GmbH
6039148,Bank coffee zu runden Außenwhirlpoo,700697210828,KF-10001,A,ST,1,10,10,0,250.00,EUR,,,10565500,Canadian Spa GmbH
6039149,Treppe coffee zu runden Außenwhirlp,700697210804,KF10005,A,ST,1,10,10,0,150.00,EUR,,,10565500,Canadian Spa GmbH
6244408,Whirlpoolabdeckung braun 198x198cm,700697209716,KC-10001,A,ST,1,10,10,0,343.00,EUR,,,10565500,Canadian Spa GmbH
6244409,Whirlpoolabdeckung braun 203x203 cm,700697209723,KC-10002,A,ST,1,10,10,0,343.00,EUR,,,10565500,Canadian Spa GmbH
6244410,Whirlpoolabdeckung braun 208x208cm,700697209730,KC-10003,A,ST,1,10,10,0,343.00,EUR,,,10565500,Canadian Spa GmbH
6244411,Whirlpoolabdeckung braun 213x213cm,700697209747,KC-10004,A,ST,1,10,10,0,343.00,EUR,,,10565500,Canadian Spa GmbH
6244412,Whirlpoolabdeckung braun 218x218cm,700697209754,KC-10005,A,ST,1,10,10,0,350.00,EUR,,,10565500,Canadian Spa GmbH
6244413,Whirlpoolabdeckung braun 223x223cm,700697209761,KC-10006,A,ST,1,10,10,0,350.00,EUR,,,10565500,Canadian Spa GmbH
6244414,Whirlpoolabdeckung braun 229x229cm,700697209778,KC-10007,A,ST,1,10,10,0,350.00,EUR,,,10565500,Canadian Spa GmbH
6244415,Whirlpoolabdeckung braun 234x234cm,700697209785,KC-10008,A,ST,1,10,10,0,450.00,EUR,,,10565500,Canadian Spa GmbH
6244416,Whirlpoolabdeckung braun 239x239cm,700697209792,KC-10009,A,ST,1,10,10,0,450.00,EUR,,,10565500,Canadian Spa GmbH
6244417,Whirlpoolabdeckung braun 244x244cm,700697209808,KC-10010,A,ST,1,10,10,0,450.00,EUR,,,10565500,Canadian Spa GmbH
6244418,Whirlpoolabdeckung grau 198x198cm,700697210873,KC-10011,A,ST,1,10,10,0,343.00,EUR,,,10565500,Canadian Spa GmbH
6244419,Whirlpoolabdeckung grau 203x203 cm,700697209563,KC-10012,A,ST,1,10,10,0,343.00,EUR,,,10565500,Canadian Spa GmbH
6244420,Whirlpoolabdeckung grau 208x208cm,700697209570,KC-10013,A,ST,1,10,10,0,343.00,EUR,,,10565500,Canadian Spa GmbH
6244421,Whirlpoolabdeckung grau 213x213cm,700697209587,KC-10014,A,ST,1,10,10,0,343.00,EUR,,,10565500,Canadian Spa GmbH
6244422,Whirlpoolabdeckung grau 218x218cm,700697209594,KC-10015,A,ST,1,10,10,0,350.00,EUR,,,10565500,Canadian Spa GmbH
6244423,Whirlpoolabdeckung grau 223x223cm,700697209600,KC-10016,A,ST,1,10,10,0,350.00,EUR,,,10565500,Canadian Spa GmbH
6244424,Whirlpoolabdeckung grau 229x229cm,700697209617,KC-10017,A,ST,1,10,10,0,350.00,EUR,,,10565500,Canadian Spa GmbH
6244425,Whirlpoolabdeckung grau 234x234cm,700697209624,KC-10018,A,ST,1,10,10,0,450.00,EUR,,,10565500,Canadian Spa GmbH
